Station,Date,Lat,Long,precip_mm,Tmin_C,Tmax_C,Day,Month,Year
USC00391392,1/1/1900,43.3111,-96.5878,0,,,1,1,1900
USC00391392,1/2/1900,43.3111,-96.5878,0,,,2,1,1900
USC00391392,1/3/1900,43.3111,-96.5878,0,,,3,1,1900
USC00391392,1/4/1900,43.3111,-96.5878,0,,,4,1,1900
USC00391392,1/5/1900,43.3111,-96.5878,0,,,5,1,1900
USC00391392,1/6/1900,43.3111,-96.5878,0,,,6,1,1900
USC00391392,1/7/1900,43.3111,-96.5878,0,,,7,1,1900
USC00391392,1/8/1900,43.3111,-96.5878,0.8,,,8,1,1900
USC00391392,1/9/1900,43.3111,-96.5878,0,,,9,1,1900
USC00391392,1/10/1900,43.3111,-96.5878,0,,,10,1,1900
USC00391392,1/11/1900,43.3111,-96.5878,0,,,11,1,1900
USC00391392,1/12/1900,43.3111,-96.5878,0,,,12,1,1900
USC00391392,1/13/1900,43.3111,-96.5878,0,,,13,1,1900
USC00391392,1/14/1900,43.3111,-96.5878,0,,,14,1,1900
USC00391392,1/15/1900,43.3111,-96.5878,1.8,,,15,1,1900
USC00391392,1/16/1900,43.3111,-96.5878,0,,,16,1,1900
USC00391392,1/17/1900,43.3111,-96.5878,0,,,17,1,1900
USC00391392,1/18/1900,43.3111,-96.5878,0,,,18,1,1900
USC00391392,1/19/1900,43.3111,-96.5878,0,,,19,1,1900
USC00391392,1/20/1900,43.3111,-96.5878,0,,,20,1,1900
USC00391392,1/21/1900,43.3111,-96.5878,0,,,21,1,1900
USC00391392,1/22/1900,43.3111,-96.5878,0,,,22,1,1900
USC00391392,1/23/1900,43.3111,-96.5878,0,,,23,1,1900
USC00391392,1/24/1900,43.3111,-96.5878,0,,,24,1,1900
USC00391392,1/25/1900,43.3111,-96.5878,0,,,25,1,1900
USC00391392,1/26/1900,43.3111,-96.5878,0.3,,,26,1,1900
USC00391392,1/27/1900,43.3111,-96.5878,0,,,27,1,1900
USC00391392,1/28/1900,43.3111,-96.5878,0,,,28,1,1900
USC00391392,1/29/1900,43.3111,-96.5878,0,,,29,1,1900
USC00391392,1/30/1900,43.3111,-96.5878,0,,,30,1,1900
USC00391392,1/31/1900,43.3111,-96.5878,0,,,31,1,1900
USC00391392,2/1/1900,43.3111,-96.5878,0,,,1,2,1900
USC00391392,2/2/1900,43.3111,-96.5878,0,,,2,2,1900
USC00391392,2/3/1900,43.3111,-96.5878,0,,,3,2,1900
USC00391392,2/4/1900,43.3111,-96.5878,1.5,,,4,2,1900
USC00391392,2/5/1900,43.3111,-96.5878,0,,,5,2,1900
USC00391392,2/6/1900,43.3111,-96.5878,0,,,6,2,1900
USC00391392,2/7/1900,43.3111,-96.5878,1.3,,,7,2,1900
USC00391392,2/8/1900,43.3111,-96.5878,0,,,8,2,1900
USC00391392,2/9/1900,43.3111,-96.5878,0,,,9,2,1900
USC00391392,2/10/1900,43.3111,-96.5878,0,,,10,2,1900
USC00391392,2/11/1900,43.3111,-96.5878,0,,,11,2,1900
USC00391392,2/12/1900,43.3111,-96.5878,0,,,12,2,1900
USC00391392,2/13/1900,43.3111,-96.5878,1,,,13,2,1900
USC00391392,2/14/1900,43.3111,-96.5878,0,,,14,2,1900
USC00391392,2/15/1900,43.3111,-96.5878,0,,,15,2,1900
USC00391392,2/16/1900,43.3111,-96.5878,0,,,16,2,1900
USC00391392,2/17/1900,43.3111,-96.5878,0,,,17,2,1900
USC00391392,2/18/1900,43.3111,-96.5878,0,,,18,2,1900
USC00391392,2/19/1900,43.3111,-96.5878,0,,,19,2,1900
USC00391392,2/20/1900,43.3111,-96.5878,0,,,20,2,1900
USC00391392,2/21/1900,43.3111,-96.5878,0,,,21,2,1900
USC00391392,2/22/1900,43.3111,-96.5878,0,,,22,2,1900
USC00391392,2/23/1900,43.3111,-96.5878,0,,,23,2,1900
USC00391392,2/24/1900,43.3111,-96.5878,0,,,24,2,1900
USC00391392,2/25/1900,43.3111,-96.5878,2.8,,,25,2,1900
USC00391392,2/26/1900,43.3111,-96.5878,0,,,26,2,1900
USC00391392,2/27/1900,43.3111,-96.5878,0,,,27,2,1900
USC00391392,2/28/1900,43.3111,-96.5878,0,,,28,2,1900
USC00391392,3/1/1900,43.3111,-96.5878,0,,,1,3,1900
USC00391392,3/2/1900,43.3111,-96.5878,0,,,2,3,1900
USC00391392,3/3/1900,43.3111,-96.5878,0,,,3,3,1900
USC00391392,3/4/1900,43.3111,-96.5878,2.8,,,4,3,1900
USC00391392,3/5/1900,43.3111,-96.5878,0,,,5,3,1900
USC00391392,3/6/1900,43.3111,-96.5878,0,,,6,3,1900
USC00391392,3/7/1900,43.3111,-96.5878,0,,,7,3,1900
USC00391392,3/8/1900,43.3111,-96.5878,0,,,8,3,1900
USC00391392,3/9/1900,43.3111,-96.5878,0,,,9,3,1900
USC00391392,3/10/1900,43.3111,-96.5878,0,,,10,3,1900
USC00391392,3/11/1900,43.3111,-96.5878,0,,,11,3,1900
USC00391392,3/12/1900,43.3111,-96.5878,0,,,12,3,1900
USC00391392,3/13/1900,43.3111,-96.5878,0,,,13,3,1900
USC00391392,3/14/1900,43.3111,-96.5878,1.3,,,14,3,1900
USC00391392,3/15/1900,43.3111,-96.5878,0,,,15,3,1900
USC00391392,3/16/1900,43.3111,-96.5878,0,,,16,3,1900
USC00391392,3/17/1900,43.3111,-96.5878,0,,,17,3,1900
USC00391392,3/18/1900,43.3111,-96.5878,0,,,18,3,1900
USC00391392,3/19/1900,43.3111,-96.5878,0,,,19,3,1900
