"Station","Date","Lat","Long","precip_mm","Tmin_C","Tmax_C","Day","Month","Year"
"USC00395561","1/30/1905",44.5177,-98.98148,1,-31.7,-13.9,30,1,1905
"USC00395561","1/1/1902",44.5177,-98.98148,0,-6.1,5.6,1,1,1902
"USC00395561","1/2/1902",44.5177,-98.98148,0,-12.2,-5.6,2,1,1902
"USC00395561","1/3/1902",44.5177,-98.98148,0,-23.3,-5.6,3,1,1902
"USC00395561","1/4/1902",44.5177,-98.98148,0,-11.1,7.8,4,1,1902
"USC00395561","1/5/1902",44.5177,-98.98148,0,-4.4,5.6,5,1,1902
"USC00395561","1/6/1902",44.5177,-98.98148,0,-8.9,4.4,6,1,1902
"USC00395561","1/7/1902",44.5177,-98.98148,0,-3.9,10,7,1,1902
"USC00395561","1/8/1902",44.5177,-98.98148,0,-1.1,10.6,8,1,1902
"USC00395561","1/9/1902",44.5177,-98.98148,0,-3.3,3.9,9,1,1902
"USC00395561","1/10/1902",44.5177,-98.98148,0,-6.7,2.2,10,1,1902
"USC00395561","1/11/1902",44.5177,-98.98148,0,-10.6,2.2,11,1,1902
"USC00395561","1/12/1902",44.5177,-98.98148,0,-13.3,-2.8,12,1,1902
"USC00395561","1/13/1902",44.5177,-98.98148,0,-12.2,5.6,13,1,1902
"USC00395561","1/14/1902",44.5177,-98.98148,0,-7.8,5.6,14,1,1902
"USC00395561","1/15/1902",44.5177,-98.98148,0,-5.6,4.4,15,1,1902
"USC00395561","1/16/1902",44.5177,-98.98148,0,-12.2,7.2,16,1,1902
"USC00395561","1/17/1902",44.5177,-98.98148,0,-5.6,1.1,17,1,1902
"USC00395561","1/18/1902",44.5177,-98.98148,0,-10.6,3.3,18,1,1902
"USC00395561","1/19/1902",44.5177,-98.98148,0,-8.9,5.6,19,1,1902
"USC00395561","1/20/1902",44.5177,-98.98148,0,-7.2,2.2,20,1,1902
"USC00395561","1/21/1902",44.5177,-98.98148,0,-13.9,1.7,21,1,1902
"USC00395561","1/22/1902",44.5177,-98.98148,0,-7.8,0,22,1,1902
"USC00395561","1/23/1902",44.5177,-98.98148,0,-9.4,-1.1,23,1,1902
"USC00395561","1/24/1902",44.5177,-98.98148,0,-21.1,-9.4,24,1,1902
"USC00395561","1/27/1902",44.5177,-98.98148,0,-30,-16.7,27,1,1902
"USC00395561","1/28/1902",44.5177,-98.98148,0,-28.9,-11.7,28,1,1902
